# File: All_Surveys_v11-free-cla_m.detections-full
# 
# Creation time: 2021-03-02T16:40:53.000  +0100
# 
# Colors used
# 
# 0.90e0 0.0e0 -0.5e0 -1.0e0 1.5e0 1.2e0  0.8e0 -0.1e0 -0.5e0 0.0e0
# 0.60e0 0.0e0 -0.5e0 -1.0e0 1.5e0 1.2e0  0.8e0 -0.1e0 -0.5e0 0.0e0
# 
# Grid size:
# h_step:  0.1
# a_step:  0.2
# q_step:  0.2
# si_step: 0.001
# 
a e ifree Omfree omfree tperi object MPC
44.1965 0.071842 1.116 250.588 279.872 13054.386 o5d135PD K04VD1B
45.625735 0.051375 1.438 261.226 277.47 15475.273 o5d136 K15VH2N
44.293163 0.086208 1.575 63.894 55.633 103080.398 o5d137 K15VH1Z
45.212774 0.106281 7.292 121.662 67.106 20497.168 o5d139 K15VH1X
46.259304 0.0488 1.685 159.506 12.457 12822.91 o5d140 K15VH2S
45.355308 0.144184 4.778 147.945 35.842 19854.848 o5d142 K15VH2P
46.739309 0.139412 2.489 13.846 133.066 4733.989 o5d143 K15VH2C
45.175817 0.181681 28.6 132.348 350.763 52667.321 o5m32 K15KH6B
42.128501 0.106877 7.818 53.684 127.529 60389.442 o5m34 K15KH5B
45.442556 0.161168 17.742 335.612 148.196 53343.82 o5m37 K15KH5V
42.945949 0.103071 11.145 18.814 158.271 61716.325 o5m39 K15KH5Q
40.283508 0.070826 15.296 24.124 312.056 41903.761 o5m41 K15KH5H
46.004189 0.18562 27.206 127.585 55.32 66378.048 o5m42 K15KH5D
41.967208 0.104855 13.015 148.739 79.01 69393.24 o5m43 K15KH6C
46.276199 0.148054 4.88 29.113 108.384 56744.054 o5m44 K15KH5W
46.135772 0.151975 9.903 349.368 179.65 63549.143 o5m46 K15KH6D
45.21637 0.181499 8.696 98.62 336.606 41824.741 o5m50 K15KH5F
40.368908 0.086383 32.6 228.357 61.551 32151.84 o5m51 K15KH5O
45.735173 0.121787 6.451 68.492 111.381 66883.536 o5m53 K15KH5E
44.809564 0.127552 7.658 60.114 141.703 71629.095 o5m56 K15KH5L
43.334684 0.072315 9.049 104.361 109.883 73446.603 o5m59 K15KH5A
43.930046 0.048224 7.319 105.141 84.961 68517.148 o5m62 K15KH5U
46.474915 0.081091 7.126 50.528 74.399 53661.693 o5m64 K15KH5M
44.826889 0.125153 11.014 107.817 114.282 76172.387 o5m65 K15KH5P
44.517875 0.049318 8.437 121.424 69.225 68789.755 o5m66 K15KH5Y
45.30139 0.068557 5.484 13.421 75.28 42767.289 o5m68 K15KH5T
43.46603 0.07609 7.382 98.817 299.477 26098.888 o5m73 K15KH5G
45.285244 0.104266 6.067 16.418 35.154 33519.573 o5m74 K15KH5S
44.294459 0.14402 5.893 88.279 161.18 82979.063 o5m75 K15KH6A
46.224555 0.209836 28.372 329.827 265.75 80807.857 o5m76 K15KH5C
45.68146 0.072032 4.544 40.843 358.875 27659.336 o5m77 K15KH5X
45.144517 0.142982 8.268 76.025 306.648 25581.884 o5m80 K15KH5K
42.922417 0.116125 37.562 342.905 8.17 13195.675 o5m81 K15KH5J
47.278648 0.121956 11.18 354.355 249.822 88614.32 o5m82 K15KH5N
44.072938 0.101703 16.641 127.316 153.463 92964.06 o5m83 K15KH5R
46.944186 0.194351 17.229 333.223 319.227 105517.473 o5m87 K15KH5Z
41.855659 0.147566 15.375 323.034 222.521 66120.803 o5p029 K15G58A
41.730588 0.170947 32.259 147.845 299.0 45222.971 o5p031 K15G56P
40.058966 0.083414 20.17 194.175 245.526 72408.277 o5p035 K15G56L
45.27295 0.170179 3.881 278.741 237.912 66519.324 o5p040 K15G57P
43.984538 0.109574 3.179 303.771 194.156 62199.817 o5p041 K15G58B
44.030127 0.094714 1.274 280.973 199.451 57622.182 o5p044 K15G57K
42.886475 0.075704 2.817 323.856 190.323 63472.409 o5p045 K15G59B
45.633116 0.180837 14.594 101.122 310.415 44454.214 o5p047 K15G57X
42.757315 0.060993 3.478 309.957 202.477 62862.98 o5p050 K15G58Z
42.991146 0.06947 0.558 333.635 189.007 65926.715 o5p052 K15G59F
44.008686 0.081428 0.56 8.316 123.615 60633.191 o5p053 K15G58R
43.952579 0.082223 1.34 354.04 147.043 63355.433 o5p055 K15G58F
44.126249 0.079469 0.834 308.255 157.376 54931.774 o5p056 K15G57U
42.654276 0.046178 1.131 302.959 197.936 60616.717 o5p058 K15G56N
44.206468 0.076769 2.244 138.755 348.588 59874.469 o5p059 K15G57C
43.895415 0.077717 0.967 263.178 251.413 66541.683 o5p061 K15G57A
44.344853 0.101501 2.721 307.436 218.025 68950.725 o5p062 K15G59A
43.143128 0.04234 1.028 248.815 242.775 58954.278 o5p064PD K15HJ6Z
43.091272 0.052638 1.897 180.257 345.361 68555.646 o5p066 K15G56E
43.724689 0.072896 2.12 345.728 180.297 69123.997 o5p067 K15G58X
43.920218 0.067544 0.535 26.735 47.866 46562.48 o5p069 K15G57T
43.519036 0.086709 2.894 273.469 140.349 40864.225 o5p070 K15G56G
44.995731 0.108567 0.971 154.457 13.003 70240.643 o5p071 K15G57Q
43.437722 0.046522 1.429 281.063 234.132 66386.235 o5p072 K15G56U
43.579714 0.080702 1.422 6.543 175.165 73356.88 o5p074 K15G58D
42.963088 0.047975 0.372 330.966 89.765 40691.168 o5p075 K15G57V
43.811492 0.0489 2.13 119.453 30.088 65929.589 o5p076 K15G56M
43.875937 0.068556 1.243 90.002 85.502 71959.583 o5p078 K15G58T
47.177446 0.17451 7.615 90.738 314.393 42659.734 o5p079 K01FJ3H
44.367794 0.059253 1.476 104.846 47.086 66826.724 o5p080 K15G58L
43.499612 0.029099 0.333 357.997 128.664 58946.751 o5p081 K15G58H
42.682468 0.010477 1.496 233.105 284.918 65794.214 o5p082 K15G56F
42.950626 0.016162 2.221 257.437 271.749 68788.773 o5p083 K15G57E
44.320626 0.07756 2.052 244.963 170.023 41179.138 o5p084 K15G56X
45.922022 0.111322 0.239 214.52 306.583 70589.215 o5p085 K15G56V
43.111256 0.015143 0.874 209.745 242.318 47839.375 o5p086 K15G57L
44.526675 0.064921 2.313 88.979 330.98 42123.488 o5p087 K15G58Y
45.707112 0.062377 10.766 285.079 175.657 54713.026 o5p088 K15G56T
42.786579 0.030444 1.541 5.952 215.476 83363.868 o5p089 K15G58E
43.353595 0.046327 3.626 323.703 238.482 78540.212 o5p090 K15G59H
44.93409 0.045335 0.547 193.258 271.335 54285.019 o5p091 K15G57N
46.317384 0.082288 2.092 276.865 161.032 48792.719 o5p092 K15G57D
43.171089 0.03208 13.547 123.826 273.812 32887.556 o5p093 K15G59E
44.035382 0.068574 2.088 292.558 262.558 77559.973 o5p094 K15G57M
43.907891 0.068513 1.838 143.522 54.154 78200.767 o5p095PD K00F08G
46.67204 0.161086 1.714 208.005 331.605 74582.456 o5p096 K15G57F
45.631125 0.068163 1.757 1.223 148.942 68159.814 o5p098PDp K05EU4O
45.617057 0.067574 1.756 1.353 148.589 68090.7 o5p099PDs -------
45.316115 0.119333 2.354 303.464 241.438 75954.79 o5p100 K15G58J
44.269844 0.044617 4.092 96.573 318.187 40218.504 o5p101 K15G58O
43.3242 0.031499 0.557 179.697 213.515 32180.518 o5p102 K15G57J
