Object                  Class  Epo  Mult M11    M11_s Grt     Grt_s  BV     BVs    BVd    VR     VRs    VRd    RI     RIs    RId   VJ     VJs    VJd    JH     JHs    JHd    HK     HKs    HKd      
2001QS322               Class-c   1   1 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
#                      - Vil+14 nodate ThermalIR tel=S+H hmag=6.91 0.68 emi=0.9 - diam=186 -24 +99 pV=0.095 -0.06 +0.531 fixeta=1.2 -0.35 +0.35 
2001QW322+A             Class-c  28   2  7.420  0.086 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
2001QW322+B             Class-c  27   2  7.421  0.091 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
2001QX322               Detachd   3   1  6.391  0.080 18.862  5.260  0.914  0.058  0.008  0.562  0.056  0.022 ------ ------ ------ ------ ------ ------  0.410  0.247  0.000 ------ ------ ------
#
2001XU254               Class-h   1   1 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------  0.370  0.226  0.000 ------ ------ ------
2001XZ255               Centaur   2   1 10.784  0.080 34.900  6.368  1.224  0.091  0.086  0.709  0.068  0.034 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
2002CB249               Centaur   1   1 10.587  0.109  5.278  4.487 ------ ------ ------  0.492  0.116  0.000  0.300  0.114  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
2002GH32                Class-h   2   1  6.080  0.050 20.916  3.383  0.990  0.099  0.000  0.570  0.070  0.000  0.590  0.070  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
#                      - RB07 FAMILY=2003EL61 
#                        SNO+10 magR FAMILY=2003EL61 LIGHTCURVE==0.75 
#                        Vil+14 nodate ThermalIR tel=H hmag=6.58 0.28 emi=0.9 - diam=230 -230 0 pV=0.075 -0 999 fixedeta=1.20+-0.35 Non detection 
2002PQ152               Centaur   1   1  9.294  0.060 36.168  4.691  1.130  0.040  0.000  0.720  0.050  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
#
2002XV93                Res-3:2   3   1  4.427  0.030  1.280  2.106  0.720  0.020  0.000  0.375  0.021  0.005 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
#                      - Mom+12 nodate ThermalIR tel=S+H hmag=5.42 0.46 emi=0.9 - diam=549.2 -23 +21.7 pV=0.04 -0.015 +0.02 freeta=1.24 -0.06 +0.06 
2003FZ129               Detachd   1   1  6.977  0.020 10.329  1.812  0.840  0.057  0.000  0.480  0.040  0.000  0.460  0.030  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
2003QA92                Class-c   1   1 ------ ------ 25.973  3.793  1.040  0.030  0.000  0.630  0.040  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
2003QD112               Centaur   1   1 11.660  0.030 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
#                      - J09 Cometary activity 
2003QK91                Detachd   1   1  6.968  0.030 11.829  1.812  0.870  0.057  0.000  0.500  0.040  0.000  0.470  0.030  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
#
2003QQ91                Class-h   1   1 ------ ------ 13.624  7.416  0.670  0.060  0.000  0.510  0.080  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
