,Hx,Nl,Nu,N
153,7.59,2874.5707951804575,3700.693424051832,3274.7806092274136
154,7.6,2901.6499408046743,3732.285760613419,3303.249387518262
155,7.6,2926.8672677388254,3761.7059753699277,3329.7608033339125
156,7.6,2948.7947917316,3787.2880866948317,3352.813591914483
157,7.61,2981.81758941286,3828.566583796407,3390.010852708198
158,7.61,3006.918385208647,3859.94257854114,3418.284679061666
159,7.61,3028.793492665901,3887.286462862707,3442.9250528068546
160,7.62,3060.718542778051,3927.192775502895,3478.8857980573393
161,7.62,3082.8646389390124,3952.7459633809276,3503.831416608897
162,7.63,3115.541508158791,3990.450043249902,3540.6390195873682
163,7.63,3136.7850739150476,4014.9618498917366,3564.568017464866
164,7.64,3186.956308904999,4072.8517364186037,3621.0814761450506
165,7.64,3214.684893015232,4104.846256545796,3652.3152736126144
166,7.65,3236.4472842007913,4129.956707913749,3676.828682447247
167,7.66,3259.3774299015568,4156.41456833771,3702.6574634579274
168,7.68,3292.7431471841055,4194.913472894497,3740.2409928520055
169,7.69,3320.855084676939,4227.350323847767,3771.906603998301
170,7.69,3343.8770411062756,4253.9141197277695,3797.8388016742574
171,7.7,3382.0061367720155,4297.909230111316,3840.7878555066013
172,7.7,3411.7365988637825,4329.926650825527,3872.0440090618326
173,7.7,3439.9092470157548,4360.266425758419,3901.6624056403157
174,7.7,3467.3329237461303,4392.26071527719,3930.4933954946905
175,7.71,3516.3033817446253,4449.392916275435,3981.9768924597383
176,7.71,3563.6718610243965,4504.656142101835,4031.7762012453322
177,7.71,3592.110679835924,4537.834764048616,4061.6744276825398
178,7.71,3619.8420125441494,4570.1879855415455,4090.828861634627
179,7.72,3661.407988694324,4618.681624383416,4134.527897633893
180,7.73,3723.446540567204,4691.059934901779,4199.750109710438
181,7.74,3782.251476798705,4759.6656938385295,4261.572765240783
182,7.75,3808.4732645743557,4790.257779576788,4289.140188265646
183,7.76,3837.6804499381874,4824.332829167925,4319.8462118662965
184,7.78,3878.91219450891,4872.436531167103,4363.193864374175
185,7.78,3912.5733730558336,4911.707906138513,4398.5824487246355
186,7.78,3936.5031597686248,4939.625990636769,4423.740251039657
187,7.79,3981.8898721005635,4992.5771550240315,4471.456093653722
188,7.8,4015.796431246236,5032.13480736065,4507.102650909222
189,7.8,4043.2627111225725,5064.178800549708,4535.9784301943155
190,7.81,4070.2018928263847,5095.6078458708225,4564.300061973452
191,7.82,4134.507380703057,5170.6309150602765,4631.905543425888
192,7.82,4183.364648267166,5227.631060551738,4683.270041312239
193,7.82,4230.410749553403,5282.518178719014,4732.73042848815
194,7.82,4263.180824934711,5320.74993333054,4767.1821805320005
195,7.82,4291.651735106651,5353.965995197805,4797.114145176364
196,7.83,4324.657761944366,5392.473026508473,4831.8139571033835
197,7.83,4354.717347356344,5427.542542822447,4863.416123747928
198,7.84,4381.616533046463,5456.510896642573,4891.69570701999
199,7.85,4419.055720529257,5496.830021624045,4931.056178086107
200,7.86,4459.525202818171,5543.525578111255,4976.64147044738
201,7.86,4493.42345883105,5582.638950433808,5014.824857619289
202,7.87,4548.0047111995245,5645.617318551277,5076.3058108199875
203,7.87,4590.146262288869,5694.242185192829,5123.7745407941175
204,7.87,4619.539962431031,5728.157993049171,5156.883944195778
205,7.88,4653.240053764104,5767.042713818102,5194.844116383119
206,7.89,4704.292705725856,5825.9496199278165,5252.350413322634
207,7.9,4737.760938133567,5864.566811167482,5290.049416937969
208,7.91,4772.728954220714,5904.914522037267,5329.437794215602
209,7.91,4803.859183304126,5940.834017133513,5364.503243877395
210,7.91,4831.750761432079,5973.016607281152,5395.920639689456
211,7.92,4886.437923694761,6041.375560109504,5457.520891018481
212,7.93,4956.859368495398,6129.402366110298,5536.844419963637
213,7.93,4992.200870094675,6173.579243109395,5576.653495636709
214,7.94,5047.200063856365,6242.328235311507,5638.605222850863
215,7.95,5106.9123891035715,6311.992614766582,5701.381832286188
216,7.95,5164.152840980844,6378.773141956733,5761.559718116703
217,7.96,5222.429246141082,6446.762281310343,5822.826719709645
218,7.96,5277.729236549813,6511.278936787196,5880.964564539737
219,7.98,5337.511741830841,6581.025192948395,5943.814955469168
220,7.98,5384.327448580394,6635.64351748954,5993.033124848576
221,7.98,5428.186641980467,6686.81257645629,6039.143060156337
222,7.98,5458.705504278825,6722.417915804374,6071.228072605322
223,7.99,5495.239614690161,6761.762342401198,6109.63702035379
224,8.01,5560.893991823018,6832.467056236581,6178.660612617626
225,8.02,5626.640946011428,6903.271468439484,6247.781532755314
226,8.02,5663.944464048707,6943.444487864247,6286.999372166106
227,8.03,5737.536167467252,7022.697091545758,6364.3676140501775
228,8.03,5788.79819819822,7077.902355409876,6418.260281413856
229,8.03,5825.182776817998,7117.085747769635,6456.512023780721
230,8.05,5874.254796062478,7169.93253772523,6508.102293855785
231,8.05,5918.057436828452,7217.104612396281,6554.15277439255
232,8.06,6025.9152745435185,7333.259206858658,6667.545601162328
233,8.09,6084.6842415643405,7396.548863650311,6729.330441633871
234,8.09,6125.451574338732,7440.452145099656,6772.18984991688
235,8.1,6196.460621170484,7516.923426303083,6846.842899867236
236,8.1,6253.480096588329,7583.446147623902,6906.7884692902
237,8.1,6309.721448303937,7649.061057958776,6965.91598368775
238,8.12,6419.690404674795,7777.358173724781,7081.528266336659
239,8.12,6520.211137351372,7894.632361847453,7187.207466556471
240,8.12,6597.120762907292,7984.3602583293605,7268.0638978770185
241,8.13,6716.559659542743,8123.705637737387,7393.632093964314
242,8.13,6772.709047984824,8189.21325758648,7452.662925767765
243,8.14,6873.160778880619,8306.406943631579,7558.2695832114505
244,8.14,6919.052449810304,8359.947226382876,7606.5162976102
245,8.15,6962.4763490203095,8410.608442127883,7652.168600540622
